# baseline-latency.csv — captured by android-daemon-bench (P0.1) and
# desktop-daemon-bench (P0.6) :benchPreviewLatency tasks. See
# docs/daemon/baseline-latency.md for methodology + reference machine.
target,phase,scenario,run,milliseconds,notes
desktop,forkAndInit,warm-no-edit,1,530,renderPreviews UP-TO-DATE; whole wall is Gradle overhead (no fork; no render)
desktop,render,warm-no-edit,1,0,renderPreviews UP-TO-DATE; no render work (0 by definition)
desktop,config,warm-no-edit,2,481,wall of renderPreviews --dry-run
desktop,compile,warm-no-edit,2,498,compileKotlin UP-TO-DATE; wall is config + up-to-date checks
desktop,discovery,warm-no-edit,2,508,discoverPreviews UP-TO-DATE; wall is config + up-to-date checks
desktop,forkAndInit,warm-no-edit,2,498,renderPreviews UP-TO-DATE; whole wall is Gradle overhead (no fork; no render)
desktop,render,warm-no-edit,2,0,renderPreviews UP-TO-DATE; no render work (0 by definition)
desktop,config,warm-no-edit,3,480,wall of renderPreviews --dry-run
desktop,compile,warm-no-edit,3,486,compileKotlin UP-TO-DATE; wall is config + up-to-date checks
desktop,discovery,warm-no-edit,3,505,discoverPreviews UP-TO-DATE; wall is config + up-to-date checks
desktop,forkAndInit,warm-no-edit,3,511,renderPreviews UP-TO-DATE; whole wall is Gradle overhead (no fork; no render)
desktop,render,warm-no-edit,3,0,renderPreviews UP-TO-DATE; no render work (0 by definition)
desktop,config,warm-after-1-line-edit,1,485,wall of renderPreviews --dry-run
desktop,compile,warm-after-1-line-edit,1,1222,wall of compileKotlin task (incl. config)
desktop,discovery,warm-after-1-line-edit,1,1188,wall of discoverPreviews task (incl. config)
desktop,forkAndInit,warm-after-1-line-edit,1,613,renderPreviews wall - sum(per-preview javaexec) = Gradle orchestration between forks
desktop,render,warm-after-1-line-edit,1,9463,sum of 5 direct DesktopRendererMain javaexec walls (incl. per-process JVM+Skiko init)
desktop,config,warm-after-1-line-edit,2,500,wall of renderPreviews --dry-run
desktop,compile,warm-after-1-line-edit,2,972,wall of compileKotlin task (incl. config)
desktop,discovery,warm-after-1-line-edit,2,1209,wall of discoverPreviews task (incl. config)
desktop,forkAndInit,warm-after-1-line-edit,2,868,renderPreviews wall - sum(per-preview javaexec) = Gradle orchestration between forks
desktop,render,warm-after-1-line-edit,2,9415,sum of 5 direct DesktopRendererMain javaexec walls (incl. per-process JVM+Skiko init)
desktop,config,warm-after-1-line-edit,3,614,wall of renderPreviews --dry-run
desktop,compile,warm-after-1-line-edit,3,927,wall of compileKotlin task (incl. config)
desktop,discovery,warm-after-1-line-edit,3,1244,wall of discoverPreviews task (incl. config)
desktop,forkAndInit,warm-after-1-line-edit,3,797,renderPreviews wall - sum(per-preview javaexec) = Gradle orchestration between forks
desktop,render,warm-after-1-line-edit,3,9473,sum of 5 direct DesktopRendererMain javaexec walls (incl. per-process JVM+Skiko init)
